20091111010506	user114613	reached level 7 in #MobsterWorld http://bit.ly/2uK1E2	<a href="http://playmobsterworld.com" rel="nofollow">Mobster World</a>
20091111215400	user266906	Dudes from Weezer pilfering our Snuggie mojo. Never forget: we were first! http://bit.ly/3Ywrac (@npr )	<a href="http://www.tweetdeck.com/" rel="nofollow">TweetDeck</a>
20091112160624	user1373989	I just heard the words 'julie's a hooker!?' coming out of a nearby office.	<a href="/devices" rel="nofollow">txt</a>
20091112201314	user414908	@user854433 LOL OO...U LEFT??	web
20091114144116	user1581743	[new post] Merav Shacham's illustrations: Merav Shacham is an Israel based illustrator. His portfolio.. http://bit.ly/30jj2E	<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>
20091114201340	user589048	Still in bed. Watching the movie, "Fragment" - It's too deep for me. I don't get it. Sad. Disturbing.	<a href="http://www.atebits.com/" rel="nofollow">Tweetie</a>
20091115005052	user327337	Might be a long/fun night for the boy, bout to go get banging food, den off to NYC to party wit ya boy @user509061...@peteyprotein where u at?	web
20091115041240	user1574820	Finna Prepare 4 church 2morrow!!! {BRB}	web
20091115201437	user741621	PSA: if we aren't talking...why the FUCK do u think I care about ur bf?! Bitch, I knew I was right about him! Get the fuck outta here!	<a href="http://ubertwitter.com" rel="nofollow">UberTwitter</a>
20091116214954	user442726	Lmao @user442727 what you been doing??	<a href="http://m.twitter.com/" rel="nofollow">mobile web</a>
20091117232629	user277161	@user182677 É por isso que ela ama vocês.	web
20091119153812	user267402	RT @user235520 @user267402 I love ur shirt, I need u to wear it when u meet my ex lol	web
20091121012642	user634325	@user522685 he's!	<a href="http://www.atebits.com/" rel="nofollow">Tweetie</a>
20091121140841	user1844517	acordeeei tem pouco tempo ;x asuhasuhasuh @user1844518 aqui o/	web
20091121215637	user360522	At joshs, tiz nice :)	<a href="http://www.atebits.com/" rel="nofollow">Tweetie</a>
20091123063655	user3763689	pensando en Franco De Vita y lo maravilloso que fue el concierto en Panamá!	web
20091123220834	user2108689	Check this video out -- Hot Chocolate--Everyone's a Winner http://www.youtube.com/watch?v=FfLY0Yh0Hp0	web
20091127002558	user3902548	Thankful for so much! Especially that Cowboys are winning so my husband is happy.	web
20091127010026	user1146958	RT: @user408288 en dos dias somos felices.. no mas El Torito en la radio...por fin llega el concierto y no mas payola ---- GAD	<a href="http://orangatame.com/products/twitterberry/" rel="nofollow">TwitterBerry</a>
20091127164027	user1302275	Britain's Scariest Road http://news.bbc.co.uk/1/hi/uk/8382506.stm	web
20091128002613	user3267446	PC4PC on default. Talk to me if you never have. Why are you people afraid to talk to me? Jeez. I&#39;m as sweet as candy!	<a href="http://www.myspace.com/sync" rel="nofollow">MySpace</a>
20091128010757	user600415	I've hidden myself away to read.I'm tweeting from the downstairs closet...	<a href="http://m.twitter.com/" rel="nofollow">mobile web</a>
20091130000847	user686934	@user1195432 the devil is a lie, J-Smoove is bout to murder them overrated celtics. ATL stand up. [salute]	<a href="http://m.twitter.com/" rel="nofollow">mobile web</a>
20091130153449	user3919882	@user781127 this is d pic of chun's pregnant -&gt; http://bit.ly/7qrX38	<a href="http://echofon.com/" rel="nofollow">Echofon</a>
20091204015127	user5189046	yarp yarp yarp	web
20091204145036	user1058215	I just took the "Qual o seu nível de inglês?" quiz and got: Dou aulas pro Obama!! Try it ➤ http://bit.ly/7lR2Rt	<a href="http://lolquiz.com" rel="nofollow">LOL quiz</a>
20091205063259	user105489	Alguém acordado ae??? Ninguém né... #aff	web
20091206014547	user5185413	me and @user720543 gettin this brown to stay warm in the winter	<a href="http://www.tweetdeck.com/" rel="nofollow">TweetDeck</a>
20091206133127	user3397164	@user602931 Sei bem como é isso... Odeio shopping lotado... Em Goiânia temos duas opções shopping ou bares...	web
20091209194059	user1832283	RT @user2519305: @user2761138 many prayers and positive thoughts being sent ur way today! Surgery=success, and we look fwd to hearing good news!	<a href="http://www.tweetdeck.com/" rel="nofollow">TweetDeck</a>
20091210151803	user5446285	não sei como existem pessoas que conseguem ter um guarda roupas arrumado... hahahaha	web
20091210224304	user5944143	Have you heard Pastor Dave on the FISH 95.9 FM, seen a Calvary flier at a local business or spotted an ad in a... http://bit.ly/4Z4TDV	<a href="http://www.facebook.com/twitter" rel="nofollow">Facebook</a>
20091214164915	user5174812	I'm switching to Chrome from FF because it keep failing to work well with Google Apps. Can GG be doing this on purpose?	<a href="http://www.tweetdeck.com/" rel="nofollow">TweetDeck</a>
20091214205328	user1049002	@user512508 hahah wow that crazyyy but ya u r hopebieber hahaha :)	web
20091215011808	user265542	My homeboy is dating one of lady gaga male dancers n ummm dude is a ugg mugg so I kno dis is all jus 2 say he dated lady gagaz dancer	<a href="http://ubertwitter.com" rel="nofollow">UberTwitter</a>
20091215142648	user274073	@user357019 Oke, je hebt gelijk. The #millententies klinkt ook beter. Alleen wel moeilijk te onthouden.	<a href="http://echofon.com/" rel="nofollow">Echofon</a>
20091216103305	user660002	Photo: prettyhair: http://tumblr.com/xae4q9e3t	<a href="http://www.tumblr.com/" rel="nofollow">Tumblr</a>
20091217152221	user149939	Back home... getting some stuff done today... working on the church's online community... then most of my afternoon I am on webinars	<a href="http://www.atebits.com/" rel="nofollow">Tweetie</a>
20091218073816	user1429142	@user6642839	web
20091219014911	user4795993	@user1305973 http://twitpic.com/u2pxs - Que fofas gente!!! Qual das duas é a do sapateado?? ;)	<a href="http://twitpic.com/" rel="nofollow">TwitPic</a>
20091219194411	user2932870	http://twitpic.com/u7sa4 - Así andamos de momento de helada, esta noche bajamos a -10° seguro	<a href="http://twitpic.com/" rel="nofollow">TwitPic</a>
20091223033238	user575938	nao dormi ainda porque comecei a assistir um filme, mais daqui a poco ja voiu	web
20091223211641	user2540392	hola!! .D	web
20091224195731	user101191	Bout to get rid of one of my phone lines ... *6101 is no more ... Hit me on *5309 ...	<a href="http://ubertwitter.com" rel="nofollow">UberTwitter</a>
20091225214718	user531776	as únicas coisas boas do Natal: Rabanada e Chocotone, o resto eu desprezo :)	web
20091227222948	user1602101	Go see It's Complicated (Meryl Streep, Alec Baldwin, Steve Martin). Very funny, some absolutely hysterical moments, no foul language. FUN!	web
20091228002622	user1594508	i cant wait to get home and sleep. thats all i need now	<a href="http://m.twitter.com/" rel="nofollow">mobile web</a>
20091231180936	user4268044	Feliz 2010!	web
20091231213507	user8926	Fri Jan 1 00:35:01 2010	<a href="http://search.cpan.org/dist/Net-Twitter/" rel="nofollow">Perl Net::Twitter</a>
20100101084929	user1409322	woo! my student loans just disbursed. finally I can buy new dulcimer strings, and maybe a burrito or two. ps happy new year!	<a href="http://www.tweetdeck.com/" rel="nofollow">TweetDeck</a>
20100101200046	user745665	PSL-Brasil - Rádio e TV Software Livre têm novo site - Software Livre: Rádio e TV Software Livre têm novo sit... http://bit.ly/8BtrIl	<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>
20100102131443	user195615	@user163872 thanks for the unfollow x	web
20100103032618	user1523399	#imfrom PG COUNTY MARYLAND BITCH!! where mambo saucee is tha 1st choice on french friess 8D	web
20100103232105	user2093437	Come on, tell me what you don't like about me. http://formspring.me/Derekx	<a href="http://formspring.me" rel="nofollow">formspring.me</a>
20100104004037	user3063031	Amanhã começa literalmente o ano... Ó Pai, dai-me força e paciência pra aguentar o trampo!!!	web
20100104133519	user2992940	daChaser posted to Doctor Who Re: Will the "Other" David Tennat Dr Ever Meet The New... http://bit.ly/6a5Jpm	<a href="http://apiwiki.twitter.com/" rel="nofollow">API</a>
20100104133836	user4120475	@user7134954 sooo there is fireworks ?	web
20100106112337	user5052575	@user669298 i never said she could wrestle but shes fucking hot	web
20100106200326	user8294487	@user1955023 See you soon!	web
20100107004240	user7246624	a todas as pessoas que estavam esperando novidades: EU AINDA NAO PEDI PRA MINHA MAE DEIXAR EU FAZER TEATRO...:D	web
20100108003451	user304238	@user1860742 olha suas dm!	web
20100110002606	user1215426	@user120453 u did keri's nails?	<a href="http://m.twitter.com/" rel="nofollow">mobile web</a>
